Experiment,Seed,Pure_TabPFN,BaselineHead,LargeBaselineHead,KGHead_real,KGHead_permuted,KGHead_random,TabPFN_Time,Baseline_Time,LargeBaseline_Time,KGHead_Time,KGHead_permuted_Time,KGHead_random_Time,Repr_Extract_Time,KG_real_minus_Baseline,KG_real_minus_KG_permuted
Tr40_Ft50_Cp2,0,0.876,0.838,0.84,0.822,0.82,0.828,1.1615118980407715,0.19369816780090332,0.3621077537536621,0.5811808109283447,0.5390899181365967,0.5530359745025635,1.3401930332183838,-0.016000000000000014,0.0020000000000000018
Tr40_Ft50_Cp2,1,0.896,0.886,0.882,0.892,0.892,0.896,0.5676679611206055,0.16501832008361816,0.3116750717163086,0.5840620994567871,0.5900497436523438,0.5499370098114014,1.4958231449127197,0.006000000000000005,0.0
Tr40_Ft50_Cp2,2,0.888,0.868,0.882,0.882,0.878,0.872,0.5792677402496338,0.24348711967468262,0.3096039295196533,0.5218639373779297,0.5363991260528564,0.5281898975372314,1.356342077255249,0.014000000000000012,0.0040000000000000036
Tr40_Ft50_Cp2,3,0.904,0.914,0.924,0.912,0.904,0.888,0.5395538806915283,0.17270684242248535,0.2734520435333252,0.5355839729309082,0.5506432056427002,0.5361709594726562,1.3843181133270264,-0.0020000000000000018,0.008000000000000007
Tr40_Ft50_Cp2,4,0.91,0.904,0.902,0.9,0.878,0.868,0.5521852970123291,0.162811279296875,0.33039212226867676,0.5868637561798096,0.5437653064727783,0.5502383708953857,1.421510934829712,-0.0040000000000000036,0.02200000000000002
Tr40_Ft50_Cp2,5,0.842,0.836,0.838,0.834,0.826,0.804,0.5321030616760254,0.1680281162261963,0.2940540313720703,0.568763017654419,0.5669760704040527,0.5732769966125488,1.3501648902893066,-0.0020000000000000018,0.008000000000000007
Tr40_Ft50_Cp2,6,0.79,0.76,0.756,0.784,0.752,0.728,0.5869250297546387,0.1938800811767578,0.3544139862060547,0.5778248310089111,0.5879240036010742,0.5708761215209961,1.3754119873046875,0.02400000000000002,0.03200000000000003
Tr40_Ft50_Cp2,7,0.832,0.826,0.822,0.846,0.848,0.81,0.4944877624511719,0.20007109642028809,0.3573758602142334,0.6366522312164307,0.581660270690918,0.568845272064209,1.4849762916564941,0.020000000000000018,-0.0020000000000000018
Tr40_Ft50_Cp2,8,0.878,0.868,0.87,0.888,0.872,0.852,0.5730409622192383,0.16033220291137695,0.39689183235168457,0.5713741779327393,0.5976667404174805,0.5770168304443359,1.440711259841919,0.020000000000000018,0.016000000000000014
Tr40_Ft50_Cp2,9,0.892,0.86,0.856,0.85,0.83,0.852,0.5523767471313477,0.21046900749206543,0.3403770923614502,0.5896201133728027,0.5350000858306885,0.5460269451141357,1.3364942073822021,-0.010000000000000009,0.020000000000000018
Tr40_Ft50_Cp2,10,0.918,0.882,0.868,0.91,0.904,0.916,0.6668541431427002,0.16460609436035156,0.3352959156036377,0.640657901763916,0.5529129505157471,0.5979561805725098,1.4479990005493164,0.028000000000000025,0.006000000000000005
Tr40_Ft50_Cp2,11,0.916,0.868,0.862,0.864,0.886,0.866,0.7740190029144287,0.17141294479370117,0.32003211975097656,0.5113072395324707,0.5050890445709229,0.5188400745391846,1.4331121444702148,-0.0040000000000000036,-0.02200000000000002
Tr40_Ft50_Cp2,12,0.862,0.866,0.866,0.85,0.856,0.832,0.6096580028533936,0.21294593811035156,0.35891103744506836,0.583737850189209,0.5587918758392334,0.5596098899841309,1.4110338687896729,-0.016000000000000014,-0.006000000000000005
Tr40_Ft50_Cp2,13,0.878,0.862,0.854,0.896,0.866,0.86,0.6119370460510254,0.18175101280212402,0.3325209617614746,0.5579919815063477,0.5290281772613525,0.5317509174346924,1.7981231212615967,0.03400000000000003,0.030000000000000027
Tr40_Ft50_Cp2,14,0.866,0.856,0.852,0.888,0.894,0.874,0.5872921943664551,0.1767280101776123,0.32320594787597656,0.5155298709869385,0.5138599872589111,0.5051090717315674,1.5014967918395996,0.03200000000000003,-0.006000000000000005
Tr40_Ft50_Cp2,15,0.896,0.92,0.924,0.918,0.91,0.902,0.6219449043273926,0.17019391059875488,0.35062289237976074,0.6153993606567383,0.6143200397491455,0.5756940841674805,1.4387240409851074,-0.0020000000000000018,0.008000000000000007
Tr40_Ft50_Cp2,16,0.886,0.904,0.878,0.916,0.906,0.92,0.6074678897857666,0.1877758502960205,0.31587672233581543,0.5413250923156738,0.6056649684906006,0.620589017868042,1.941965103149414,0.01200000000000001,0.010000000000000009
Tr40_Ft50_Cp2,17,0.884,0.892,0.868,0.88,0.902,0.856,0.6813628673553467,0.24129509925842285,0.35225605964660645,0.6408329010009766,0.4869859218597412,0.5524158477783203,1.7691349983215332,-0.01200000000000001,-0.02200000000000002
Tr40_Ft50_Cp2,18,0.91,0.906,0.906,0.924,0.9,0.876,0.7522728443145752,0.25721311569213867,0.3469240665435791,0.6066880226135254,0.6691427230834961,0.5474269390106201,1.4226059913635254,0.018000000000000016,0.02400000000000002
Tr40_Ft50_Cp2,19,0.888,0.878,0.872,0.906,0.888,0.86,0.7115700244903564,0.2553441524505615,0.34218406677246094,0.5205540657043457,0.6819720268249512,0.5807628631591797,1.7724478244781494,0.028000000000000025,0.018000000000000016
Tr40_Ft50_Cp6,0,0.738,0.798,0.804,0.742,0.74,0.748,0.6671178340911865,0.2762339115142822,0.334979772567749,0.6769092082977295,0.567234992980957,0.5852186679840088,1.3743360042572021,-0.05600000000000005,0.0020000000000000018
Tr40_Ft50_Cp6,1,0.812,0.812,0.794,0.782,0.81,0.752,0.6630442142486572,0.27127504348754883,0.465864896774292,0.7835338115692139,0.6454668045043945,0.6583340167999268,1.651947021484375,-0.030000000000000027,-0.028000000000000025
Tr40_Ft50_Cp6,2,0.8,0.806,0.804,0.794,0.712,0.706,0.7243571281433105,0.21323871612548828,0.34493112564086914,0.5309829711914062,0.5363278388977051,0.5467321872711182,1.4930739402770996,-0.01200000000000001,0.08200000000000007
Tr40_Ft50_Cp6,3,0.856,0.82,0.836,0.822,0.832,0.806,0.6594319343566895,0.17088723182678223,0.3130061626434326,0.5196359157562256,0.5023560523986816,0.528397798538208,1.5527622699737549,0.0020000000000000018,-0.010000000000000009
Tr40_Ft50_Cp6,4,0.76,0.786,0.786,0.798,0.77,0.758,0.5970370769500732,0.25270891189575195,0.35515379905700684,0.5868380069732666,0.5625,0.5650880336761475,1.5098440647125244,0.01200000000000001,0.028000000000000025
Tr40_Ft50_Cp6,5,0.79,0.692,0.706,0.67,0.698,0.69,0.653641939163208,0.18454408645629883,0.44377708435058594,0.5349738597869873,0.4784228801727295,0.49254488945007324,1.6265459060668945,-0.02199999999999991,-0.027999999999999914
Tr40_Ft50_Cp6,6,0.768,0.744,0.728,0.738,0.742,0.738,0.6138420104980469,0.20207524299621582,0.34918212890625,0.5689308643341064,0.5266249179840088,0.539625883102417,1.419356346130371,-0.006000000000000005,-0.0040000000000000036
Tr40_Ft50_Cp6,7,0.876,0.814,0.81,0.83,0.824,0.82,0.5791010856628418,0.20656394958496094,0.3638160228729248,0.6081516742706299,0.6448459625244141,0.4907708168029785,1.5066020488739014,0.016000000000000014,0.006000000000000005
Tr40_Ft50_Cp6,8,0.77,0.786,0.78,0.736,0.764,0.736,0.6578350067138672,0.2061018943786621,0.3330059051513672,0.5498931407928467,0.5375251770019531,0.5429890155792236,1.579252004623413,-0.050000000000000044,-0.028000000000000025
Tr40_Ft50_Cp6,9,0.774,0.746,0.74,0.748,0.746,0.748,0.6574110984802246,0.18333911895751953,0.33044910430908203,0.5667591094970703,0.5308482646942139,0.5418570041656494,1.5916509628295898,0.0020000000000000018,0.0020000000000000018
Tr40_Ft50_Cp6,10,0.774,0.748,0.744,0.766,0.78,0.788,0.635270357131958,0.18155980110168457,0.3705568313598633,0.6083271503448486,0.6410272121429443,0.6357932090759277,1.518481731414795,0.018000000000000016,-0.014000000000000012
Tr40_Ft50_Cp6,11,0.714,0.712,0.706,0.708,0.712,0.722,0.5909607410430908,0.21938800811767578,0.3635120391845703,0.5752792358398438,0.5458800792694092,0.5441961288452148,1.7400782108306885,-0.0040000000000000036,-0.0040000000000000036
Tr40_Ft50_Cp6,12,0.758,0.738,0.732,0.764,0.758,0.738,0.6365880966186523,0.2031087875366211,0.34627318382263184,0.6177000999450684,0.5600738525390625,0.6256399154663086,1.8060028553009033,0.026000000000000023,0.006000000000000005
Tr40_Ft50_Cp6,13,0.82,0.748,0.76,0.722,0.714,0.754,0.6773478984832764,0.1904618740081787,0.34407973289489746,0.5849039554595947,0.605640172958374,0.5393049716949463,1.5823049545288086,-0.026000000000000023,0.008000000000000007
Tr40_Ft50_Cp6,14,0.772,0.816,0.822,0.75,0.792,0.74,0.6373789310455322,0.17435097694396973,0.32561302185058594,0.5244920253753662,0.5165009498596191,0.5092699527740479,1.6545679569244385,-0.06599999999999995,-0.04200000000000004
Tr40_Ft50_Cp6,15,0.766,0.724,0.72,0.684,0.686,0.688,0.6957719326019287,0.17711210250854492,0.33412909507751465,0.555413007736206,0.5092008113861084,0.5104451179504395,1.4030652046203613,-0.039999999999999925,-0.0020000000000000018
Tr40_Ft50_Cp6,16,0.822,0.816,0.816,0.812,0.814,0.814,0.6673669815063477,0.18285918235778809,0.3585469722747803,0.5842769145965576,0.5944750308990479,0.5650229454040527,1.4853732585906982,-0.0039999999999998925,-0.0019999999999998908
Tr40_Ft50_Cp6,17,0.8,0.794,0.792,0.786,0.81,0.802,0.5751931667327881,0.22629404067993164,0.4087061882019043,0.5528502464294434,0.581240177154541,0.5788900852203369,1.5547468662261963,-0.008000000000000007,-0.02400000000000002
Tr40_Ft50_Cp6,18,0.72,0.76,0.758,0.678,0.708,0.666,1.0162620544433594,0.22867798805236816,0.35405588150024414,0.5929570198059082,0.5977718830108643,0.5844058990478516,1.7481539249420166,-0.08199999999999996,-0.029999999999999916
Tr40_Ft50_Cp6,19,0.768,0.718,0.722,0.726,0.708,0.676,0.8461780548095703,0.18016314506530762,0.3369741439819336,0.597693920135498,0.6183381080627441,0.5872540473937988,1.6829209327697754,0.008000000000000007,0.018000000000000016
Tr40_Ft50_Cp20,0,0.7,0.666,0.648,0.56,0.598,0.564,0.7022740840911865,0.25684595108032227,0.3573648929595947,0.5841121673583984,0.5527701377868652,0.6114528179168701,1.5990619659423828,-0.10599999999999998,-0.03799999999999992
